,movie_title,year,place,star_cast,rating,vote,link
0,The Shawshank Redemption,1994,1,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.222201968662178,,/title/tt0111161/
1,The Godfather,1972,2,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.149050707559978,,/title/tt0068646/
2,The Godfather: Part II,1974,3,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",8.981458013478026,,/title/tt0071562/
3,The Dark Knight,2008,4,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",8.968518487579601,,/title/tt0468569/
4,12 Angry Men,1957,5,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.922514290918823,,/title/tt0050083/
5,Schindler's List,1993,6,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.902053233396236,,/title/tt0108052/
6,The Lord of the Rings: The Return of the King,2003,7,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.878502853274954,,/title/tt0167260/
7,Pulp Fiction,1994,8,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.852405266470504,,/title/tt0110912/
8,"Il buono, il brutto, il cattivo",1966,9,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.803255346550444,,/title/tt0060196/
9, Fight Club,1999,1,"David Fincher (dir.), Brad Pitt, Edward Norton",8.774034230121163,,/title/tt0137523/
10,The Lord of the Rings: The Fellowship of the Ring,2001,11,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.772512599460224,,/title/tt0120737/
11,Forrest Gump,1994,12,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.751830846828009,,/title/tt0109830/
12,Inception,2010,13,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.71729374445699,,/title/tt1375666/
13,Star Wars: Episode V - The Empire Strikes Back,1980,14,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.705529268576042,,/title/tt0080684/
14,The Lord of the Rings: The Two Towers,2002,15,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.69493765351475,,/title/tt0167261/
15,The Matrix,1999,16,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.648905697895842,,/title/tt0133093/
16,One Flew Over the Cuckoo's Nest,1975,17,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.642951358231963,,/title/tt0073486/
17,Goodfellas,1990,18,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.6427612745767,,/title/tt0099685/
18,Joker,2019,19,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.629871369203077,,/title/tt7286456/
